"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPP1R14B",19.5935152336672,1.85640923812068,0.622229505768807,2.98347992325912,0.00284990732228523,0.00894508483237501
"MIB1",496.48988336971,-0.602077448421731,0.201812919265037,-2.98334442915933,0.00285116940416396,0.00894810574352213
"LOC105378349",2.23010138221033,2.79512026862568,0.936966728825976,2.98315850780313,0.00285290202945035,0.00895234482516527
"LOC102724078",17.938086975257,1.33792858489884,0.448497473724278,2.9831351641489,0.00285311963991037,0.00895234482516527
"LOC105373447",3.61679267372931,3.21916802641342,1.07933160162551,2.98255700246824,0.00285851412381783,0.00896832905849558
"EEF1A1",12560.5966368805,-0.897485521431743,0.30091486073259,-2.98252309389697,0.00285883079348762,0.00896838042515836
"GBP4",960.724337472325,0.7657125040911,0.256744841408249,2.9823871042205,0.00286010111295642,0.00897024501375491
"LOC105375433",31.1833235096722,-1.22076016281928,0.409324210936552,-2.98237956661817,0.0028601715389826,0.00897024501375491
"MUC17",4.51950160289812,2.41196624355982,0.808743347463265,2.98236300938398,0.00286032624362927,0.00897024501375491
"PTCHD4",93.7984751377779,0.912618938578818,0.306010260092606,2.98231483579224,0.0028607764032283,0.00897071475035837
"WDR19",108.495400692667,1.17260913420365,0.393197187658445,2.98224191578464,0.00286145792951803,0.00897190982310297
"LOC107986413",7.87554453677174,1.86074004523374,0.62395838600572,2.98215407784691,0.00286227907884953,0.00897335349232815
"LOC101929570",3.71267536580151,3.71783221909924,1.24670427871461,2.98212838647865,0.00286251929420426,0.00897335349232815
"LOC105371829",9.34968105418756,4.34387861300526,1.45682236021959,2.98174899810742,0.00286606873446851,0.00898353723288225
"C8orf37",20.3979926843077,1.37811839939857,0.462212752222093,2.98156723883807,0.00286777064116063,0.00898792844981239
"LOC100287042",9.43663362281226,1.34426442636796,0.450908073983681,2.98123831425695,0.00287085287902555,0.00899664441050345
"LOC105374496",1.36136220473192,3.50492742702803,1.17567973270295,2.9811923515684,0.00287128382013565,0.00899705081191388
"LOC101929440",7.24065206248674,-1.62343167439426,0.544698499490637,-2.98042251982038,0.00287851046116021,0.00901874894277694
"LINC02113",4.85424883305939,1.75813998315671,0.58991027730044,2.98035150566006,0.00287917792809511,0.00901989392872764
"LOC105373576",32.250358434746,2.69780144618092,0.905574690474738,2.97910429096315,0.00289092363830757,0.00905574097525231
